Unique ID,Sample Date,Latitude (degree),Longitude (degree),Ocean,Region,Subregion,Country,State,Beach Location,Marine Setting,Ocean Bottom Depth (m),Water Sample Depth (m),Sediment Sample Depth (m),Sampling Method,Mesh Size (mm),Transect Number,Sampling Point on Beach,Volunteers Number,Collecting Time (min),Standardized Nurdle  Amount,Microplastics Measurement,Unit,Concentration Class Range,Concentration Class,Short Reference,Long Reference,DOI,Organization,Keywords,NCEI Accession Number,NCEI Accession Link,ObjectId,x,y
0276264-0000402,8/9/2015 5:00:00 AM,32.51375,-151.22505,Pacific Ocean,,,,,,Ocean water,,0,,Manta net,0.333,,,,,,0.887341,pieces/m3,0.005-1,Medium,Egger et al. 2020,"Egger, M., R. Nijhof, L. Quiros, G. Leone, S-J. Royer, A. C. McWhirter, G. A. Kantakov, V. I. Radchenko, E. A. Pakhomov, B. P. V. Hunt, L. Lebreton. 2020. A spatially variable scarcity of floating microplastics in the eastern North Pacific Ocean. Environmental Research Letters 15, 114056. https://doi.org/10.1088/1748-9326/abbb4f",https://doi.org/10.1088/1748-9326/abbb4f,"The Ocean Cleanup, Rotterdam, The Netherlands",The Ocean Cleanup Foundation,276264,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276264,12060,-16834295.5611873,3830938.8424325
0276264-0000602,9/14/2015 5:00:00 AM,30.1402,-133.82095,Pacific Ocean,,,,,,Ocean water,,0,,Manta net,0.333,,,,,,2.842615,pieces/m3,1-10,High,Egger et al. 2020,"Egger, M., R. Nijhof, L. Quiros, G. Leone, S-J. Royer, A. C. McWhirter, G. A. Kantakov, V. I. Radchenko, E. A. Pakhomov, B. P. V. Hunt, L. Lebreton. 2020. A spatially variable scarcity of floating microplastics in the eastern North Pacific Ocean. Environmental Research Letters 15, 114056. https://doi.org/10.1088/1748-9326/abbb4f",https://doi.org/10.1088/1748-9326/abbb4f,"The Ocean Cleanup, Rotterdam, The Netherlands",The Ocean Cleanup Foundation,276264,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276264,12063,-14896880.0114721,3521584.00614264
0276264-0000502,8/27/2015 5:00:00 AM,26.7181,-150.57685,Pacific Ocean,,,,,,Ocean water,,0,,Manta net,0.333,,,,,,0.341454,pieces/m3,0.005-1,Medium,Egger et al. 2020,"Egger, M., R. Nijhof, L. Quiros, G. Leone, S-J. Royer, A. C. McWhirter, G. A. Kantakov, V. I. Radchenko, E. A. Pakhomov, B. P. V. Hunt, L. Lebreton. 2020. A spatially variable scarcity of floating microplastics in the eastern North Pacific Ocean. Environmental Research Letters 15, 114056. https://doi.org/10.1088/1748-9326/abbb4f",https://doi.org/10.1088/1748-9326/abbb4f,"The Ocean Cleanup, Rotterdam, The Netherlands",The Ocean Cleanup Foundation,276264,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276264,12064,-16762138.2672551,3088296.00028222
0276264-0000302,8/15/2015 5:00:00 AM,33.00406,-134.7215,Pacific Ocean,,,,,,Ocean water,,0,,Manta net,0.333,,,,,,5.728249,pieces/m3,1-10,High,Egger et al. 2020,"Egger, M., R. Nijhof, L. Quiros, G. Leone, S-J. Royer, A. C. McWhirter, G. A. Kantakov, V. I. Radchenko, E. A. Pakhomov, B. P. V. Hunt, L. Lebreton. 2020. A spatially variable scarcity of floating microplastics in the eastern North Pacific Ocean. Environmental Research Letters 15, 114056. https://doi.org/10.1088/1748-9326/abbb4f",https://doi.org/10.1088/1748-9326/abbb4f,"The Ocean Cleanup, Rotterdam, The Netherlands",The Ocean Cleanup Foundation,276264,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276264,12065,-14997128.778906,3895842.87288888
0276264-0000202,8/1/2015 5:00:00 AM,29.997348,-141.776,Pacific Ocean,,,,,,Ocean water,,0,,Manta net,0.333,,,,,,5.340388,pieces/m3,1-10,High,Egger et al. 2020,"Egger, M., R. Nijhof, L. Quiros, G. Leone, S-J. Royer, A. C. McWhirter, G. A. Kantakov, V. I. Radchenko, E. A. Pakhomov, B. P. V. Hunt, L. Lebreton. 2020. A spatially variable scarcity of floating microplastics in the eastern North Pacific Ocean. Environmental Research Letters 15, 114056. https://doi.org/10.1088/1748-9326/abbb4f",https://doi.org/10.1088/1748-9326/abbb4f,"The Ocean Cleanup, Rotterdam, The Netherlands",The Ocean Cleanup Foundation,276264,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276264,12074,-15782432.1267072,3503208.9581864
0276264-0000102,7/30/2019 5:00:00 AM,33.87,-146.33,Pacific Ocean,,,,,,Ocean water,,0,,Manta net,0.333,,,,,,2.59128,pieces/m3,1-10,High,Egger et al. 2020,"Egger, M., R. Nijhof, L. Quiros, G. Leone, S-J. Royer, A. C. McWhirter, G. A. Kantakov, V. I. Radchenko, E. A. Pakhomov, B. P. V. Hunt, L. Lebreton. 2020. A spatially variable scarcity of floating microplastics in the eastern North Pacific Ocean. Environmental Research Letters 15, 114056. https://doi.org/10.1088/1748-9326/abbb4f",https://doi.org/10.1088/1748-9326/abbb4f,"The Ocean Cleanup, Rotterdam, The Netherlands",The Ocean Cleanup Foundation,276264,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276264,12081,-16289381.0877797,4011359.53105243
0276264-0000403,8/10/2015 5:00:00 AM,32.62765,-150.518,Pacific Ocean,,,,,,Ocean water,,0,,Manta net,0.333,,,,,,3.504488,pieces/m3,1-10,High,Egger et al. 2020,"Egger, M., R. Nijhof, L. Quiros, G. Leone, S-J. Royer, A. C. McWhirter, G. A. Kantakov, V. I. Radchenko, E. A. Pakhomov, B. P. V. Hunt, L. Lebreton. 2020. A spatially variable scarcity of floating microplastics in the eastern North Pacific Ocean. Environmental Research Letters 15, 114056. https://doi.org/10.1088/1748-9326/abbb4f",https://doi.org/10.1088/1748-9326/abbb4f,"The Ocean Cleanup, Rotterdam, The Netherlands",The Ocean Cleanup Foundation,276264,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276264,12109,-16755587.115222,3845984.38113354
0276264-0000203,8/1/2015 5:00:00 AM,29.9952,-141.7755,Pacific Ocean,,,,,,Ocean water,,0,,Manta net,0.333,,,,,,6.394891,pieces/m3,1-10,High,Egger et al. 2020,"Egger, M., R. Nijhof, L. Quiros, G. Leone, S-J. Royer, A. C. McWhirter, G. A. Kantakov, V. I. Radchenko, E. A. Pakhomov, B. P. V. Hunt, L. Lebreton. 2020. A spatially variable scarcity of floating microplastics in the eastern North Pacific Ocean. Environmental Research Letters 15, 114056. https://doi.org/10.1088/1748-9326/abbb4f",https://doi.org/10.1088/1748-9326/abbb4f,"The Ocean Cleanup, Rotterdam, The Netherlands",The Ocean Cleanup Foundation,276264,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276264,12110,-15782376.4669618,3502932.86318001
0276264-0000603,9/14/2015 5:00:00 AM,30.09175,-133.8008,Pacific Ocean,,,,,,Ocean water,,0,,Manta net,0.333,,,,,,2.206101,pieces/m3,1-10,High,Egger et al. 2020,"Egger, M., R. Nijhof, L. Quiros, G. Leone, S-J. Royer, A. C. McWhirter, G. A. Kantakov, V. I. Radchenko, E. A. Pakhomov, B. P. V. Hunt, L. Lebreton. 2020. A spatially variable scarcity of floating microplastics in the eastern North Pacific Ocean. Environmental Research Letters 15, 114056. https://doi.org/10.1088/1748-9326/abbb4f",https://doi.org/10.1088/1748-9326/abbb4f,"The Ocean Cleanup, Rotterdam, The Netherlands",The Ocean Cleanup Foundation,276264,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276264,12111,-14894636.9237326,3515348.91072608
0276264-0000103,8/2/2019 5:00:00 AM,32.82,-146.59,Pacific Ocean,,,,,,Ocean water,,0,,Manta net,0.333,,,,,,2.178,pieces/m3,1-10,High,Egger et al. 2020,"Egger, M., R. Nijhof, L. Quiros, G. Leone, S-J. Royer, A. C. McWhirter, G. A. Kantakov, V. I. Radchenko, E. A. Pakhomov, B. P. V. Hunt, L. Lebreton. 2020. A spatially variable scarcity of floating microplastics in the eastern North Pacific Ocean. Environmental Research Letters 15, 114056. https://doi.org/10.1088/1748-9326/abbb4f",https://doi.org/10.1088/1748-9326/abbb4f,"The Ocean Cleanup, Rotterdam, The Netherlands",The Ocean Cleanup Foundation,276264,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276264,12112,-16318324.155386,3871436.27357652
